Package,License,Application Compatibility Level
autocorr-lb,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-lt,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-mn,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-nl,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-pl,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-pt,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-ro,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-ru,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-sk,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-sl,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-sr,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-sv,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-tr,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-vi,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-vro,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
autocorr-zh,(MPLv1.1 or LGPLv3+) and LGPLv3 and LGPLv2+ and BSD and (MPLv1.1 or GPLv2 or LGPLv2 or Netscape) and Public Domain and ASL 2.0 and MPLv2.0 and CC0,2
automake,GPLv2+ and GFDL and Public Domain and MIT,2
avahi-autoipd,LGPLv2+,4
avahi-glib,LGPLv2+,4
avahi-tools,LGPLv2+,4
awscli2,Apache-2.0 AND MIT,4
babel,BSD,2
babl,LGPLv3+ and GPLv3+,2
bacula-client,AGPLv3 with exceptions,2
bacula-common,AGPLv3 with exceptions,2
bacula-console,AGPLv3 with exceptions,2
bacula-director,AGPLv3 with exceptions,2
bacula-libs,AGPLv3 with exceptions,2
bacula-libs-sql,AGPLv3 with exceptions,2
bacula-logwatch,AGPLv3 with exceptions,2
bacula-storage,AGPLv3 with exceptions,2
baobab,GPLv2+ and GFDL,4
bcc,ASL 2.0,4
bcc-tools,ASL 2.0,2
bcel,ASL 2.0,2
bind,MPLv2.0,2
bind-chroot,MPLv2.0,2
bind-dnssec-doc,MPLv2.0,Not Applicable
bind-dnssec-utils,MPLv2.0,2
bind-dyndb-ldap,GPLv2+,2
bind-libs,MPLv2.0,2
bind-license,MPLv2.0,2
bind-utils,MPLv2.0,2
bind9.18,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,3
bind9.18-chroot,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,3
bind9.18-dnssec-utils,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,3
bind9.18-dyndb-ldap,GPLv2+,3
bind9.18-libs,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,3
bind9.18-utils,MPL-2.0 AND ISC AND MIT AND BSD-3-Clause AND BSD-2-Clause,3
binutils-devel,GPLv3+,2
bison,GPLv3+,2
bison-runtime,GPLv3+,2
bitmap-fangsongti-fonts,MIT,2
blas,BSD,4
blivet-data,LGPLv2+,2
blktrace,GPLv2+,2
bluez-cups,GPLv2+,4
bluez-obexd,GPLv2+,2
bmc-snmp-proxy,BSD,2
bogofilter,GPLv2,2
boom-boot,GPL-2.0-only,2
boom-boot-conf,GPL-2.0-only,2
boost,Boost and MIT and Python,2
boost-atomic,Boost and MIT and Python,2
boost-chrono,Boost and MIT and Python,2
boost-container,Boost and MIT and Python,2
boost-context,Boost and MIT and Python,2
boost-contract,Boost and MIT and Python,2
boost-coroutine,Boost and MIT and Python,2
boost-date-time,Boost and MIT and Python,2
boost-devel,Boost and MIT and Python,2
boost-fiber,Boost and MIT and Python,2
boost-filesystem,Boost and MIT and Python,2
boost-graph,Boost and MIT and Python,2
boost-iostreams,Boost and MIT and Python,2
boost-json,Boost and MIT and Python,2
boost-locale,Boost and MIT and Python,2
boost-log,Boost and MIT and Python,2
boost-math,Boost and MIT and Python,2
boost-nowide,Boost and MIT and Python,2
boost-numpy3,Boost and MIT and Python,2
boost-program-options,Boost and MIT and Python,2
boost-python3,Boost and MIT and Python,2
boost-random,Boost and MIT and Python,2
boost-regex,Boost and MIT and Python,2
boost-serialization,Boost and MIT and Python,2
boost-stacktrace,Boost and MIT and Python,2
boost-system,Boost and MIT and Python,2
boost-test,Boost and MIT and Python,2
boost-thread,Boost and MIT and Python,2
boost-timer,Boost and MIT and Python,2
boost-type_erasure,Boost and MIT and Python,2
boost-wave,Boost and MIT and Python,2
bootc,Apache-2.0 AND BSD-3-Clause AND MIT AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (Unlicense OR MIT),4
bootupd,Apache-2.0 AND (Apache-2.0 WITH LLVM-exception) AND BSD-3-Clause AND MIT AND (Apache-2.0 OR BSL-1.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (Unlicense OR MIT),2
Box2D,zlib,4
bpftool,GPL-2.0-only OR BSD-2-Clause,4
bpftrace,ASL 2.0,2
brasero,GPLv3+,2
brasero-libs,GPLv3+,2
brasero-nautilus,GPLv3+,2
brlapi,LGPLv2+,2
brltty,LGPLv2+,2
brltty-at-spi2,LGPLv2+,2
brltty-docs,LGPLv2+,Not Applicable
brltty-dracut,LGPLv2+,2
brltty-espeak-ng,LGPLv2+,2
brltty-xw,LGPLv2+,2
brotli,MIT,4
brotli-devel,MIT,4
bsdtar,BSD,4
bsf,ASL 2.0,2
buildah,Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0,3
buildah-tests,Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0,3
butane,ASL 2.0,Not Applicable
byacc,Public Domain,2
byte-buddy,ASL 2.0,2
byteman,LGPLv2+,4
byteman-bmunit,LGPLv2+,4
byteman-javadoc,LGPLv2+,4
bzip2-devel,BSD,2
c-ares-devel,MIT,2
c2esp,GPLv2+,2
cairo,LGPLv2 or MPLv1.1,2
cairo-devel,LGPLv2 or MPLv1.1,2
cairo-gobject,LGPLv2 or MPLv1.1,2
cairo-gobject-devel,LGPLv2 or MPLv1.1,2
cairomm,LGPLv2+,2
capstone,BSD,4
cargo,(Apache-2.0 OR MIT) AND (Artistic-2.0 AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0 AND Unicode-DFS-2016),3
cdi-api,ASL 2.0,2
cdrskin,GPLv2+,4
cepces,GPL-3.0-or-later,2
cepces-certmonger,GPL-3.0-or-later,2
cepces-selinux,GPL-3.0-or-later,2
certmonger,GPLv3+,2
chan,ASL 2.0,2
check,LGPLv2+,2
check-devel,LGPLv2+,2
checkpolicy,GPLv2,2
cheese,GPLv2+,2
cheese-libs,GPLv2+,2
chrome-gnome-shell,GPLv3+,2
cim-schema,DMTF,2
cjose,MIT,2
clang,Apache-2.0 WITH LLVM-exception OR NCSA,3
clang-analyzer,Apache-2.0 WITH LLVM-exception OR NCSA OR MIT,3
clang-devel,Apache-2.0 WITH LLVM-exception OR NCSA,3
