Package,License,Application Compatibility Level
accel-config,GPL-2.0-only,4
accel-config-libs,LGPL-2.1-only,4
acl,GPL-2.0-or-later AND LGPL-2.1-or-later,2
adcli,LGPL-2.1-or-later,2
alternatives,GPL-2.0-only,2
amd-ucode-firmware,"Redistributable, no modification permitted",Not Applicable
at,GPL-3.0-or-later AND GPL-2.0-or-later AND ISC,2
atheros-firmware,"Redistributable, no modification permitted",Not Applicable
attr,GPL-2.0-or-later,2
audispd-plugins,GPL-2.0-or-later,2
audispd-plugins-zos,GPL-2.0-or-later,2
audit,GPL-2.0-or-later AND LGPL-2.0-or-later,2
audit-libs,LGPL-2.0-or-later,2
audit-rules,GPL-2.0-or-later,Not Applicable
authselect,GPL-3.0-or-later,2
authselect-libs,GPL-3.0-or-later,2
autofs,GPL-2.0-or-later,2
avahi,LGPL-2.1-or-later AND LGPL-2.0-or-later AND BSD-2-Clause-Views AND MIT,4
avahi-libs,LGPL-2.1-or-later AND LGPL-2.0-or-later AND BSD-2-Clause-Views AND MIT,4
basesystem,LicenseRef-Fedora-Public-Domain,2
bash,GPL-3.0-or-later,2
bash-completion,GPL-2.0-or-later,2
bc,GPL-3.0-or-later,2
binutils,GPL-3.0-or-later AND (GPL-3.0-or-later WITH Bison-exception-2.2) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND BSD-3-Clause AND GFDL-1.3-or-later AND GPL-2.0-or-later AND LGPL-2.1-or-later AND LGPL-2.0-or-later,2
binutils-gold,GPL-3.0-or-later AND (GPL-3.0-or-later WITH Bison-exception-2.2) AND (LGPL-2.0-or-later WITH GCC-exception-2.0) AND BSD-3-Clause AND GFDL-1.3-or-later AND GPL-2.0-or-later AND LGPL-2.1-or-later AND LGPL-2.0-or-later,2
biosdevname,GPL-2.0-only AND GPL-2.0-or-later,2
bluez,GPL-2.0-or-later,2
bluez-libs,GPL-2.0-or-later,2
bolt,LGPLv2+,2
boost-system,BSL-1.0 AND MIT AND Python-2.0.1,2
brcmfmac-firmware,"Redistributable, no modification permitted",Not Applicable
bubblewrap,LGPL-2.0-or-later,3
bzip2,BSD-4-Clause,2
bzip2-libs,BSD-4-Clause,2
c-ares,MIT,2
ca-certificates,MIT AND GPL-2.0-or-later,Not Applicable
cachefilesd,GPL-2.0-or-later,2
chkconfig,GPL-2.0-only,2
chrony,GPL-2.0-only,2
chrpath,GPL-2.0-or-later,2
cifs-utils,GPL-3.0-only,4
cirrus-audio-firmware,"Redistributable, no modification permitted",Not Applicable
cockpit,LGPL-2.1-or-later,2
cockpit-bridge,LGPL-2.1-or-later,2
cockpit-doc,LGPL-2.1-or-later,Not Applicable
cockpit-system,LGPL-2.1-or-later,2
cockpit-ws,LGPL-2.1-or-later,2
coreutils,GPL-3.0-or-later AND GFDL-1.3-no-invariants-or-later AND LGPL-2.1-or-later AND LGPL-3.0-or-later,2
coreutils-common,GPL-3.0-or-later AND GFDL-1.3-no-invariants-or-later AND LGPL-2.1-or-later AND LGPL-3.0-or-later,2
coreutils-single,GPL-3.0-or-later AND GFDL-1.3-no-invariants-or-later AND LGPL-2.1-or-later AND LGPL-3.0-or-later,2
cpio,GPL-3.0-or-later,2
cracklib,LGPL-2.1-or-later,4
cracklib-dicts,LGPL-2.1-or-later,4
cronie,GPL-2.0-or-later AND BSD-3-Clause AND BSD-2-Clause AND ISC AND LGPL-2.1-or-later,2
cronie-anacron,GPL-2.0-or-later AND BSD-3-Clause AND BSD-2-Clause AND ISC AND LGPL-2.1-or-later,2
cronie-noanacron,GPL-2.0-or-later AND BSD-3-Clause AND BSD-2-Clause AND ISC AND LGPL-2.1-or-later,2
crontabs,GPL-2.0-or-later,2
crypto-policies,LGPL-2.1-or-later,2
crypto-policies-scripts,LGPL-2.1-or-later,2
cryptsetup,GPL-2.0-or-later WITH cryptsetup-OpenSSL-exception AND LGPL-2.1-or-later WITH cryptsetup-OpenSSL-exception,4
