Package,License,Application Compatibility Level
ant-apache-resolver,Apache-2.0,2
ant-apache-xalan2,Apache-2.0,2
ant-commons-logging,Apache-2.0,2
ant-commons-net,Apache-2.0,2
ant-jakartamail,Apache-2.0,2
ant-jdepend,Apache-2.0,2
ant-jmf,Apache-2.0,2
ant-jsch,Apache-2.0,2
ant-junit,Apache-2.0,2
ant-junit5,Apache-2.0,2
ant-lib,Apache-2.0,2
ant-swing,Apache-2.0,2
ant-testutil,Apache-2.0,2
ant-unbound,Apache-2.0,2
ant-xz,Apache-2.0,2
anthy-unicode,LGPL-2.0-or-later AND GPL-2.0-or-later AND LicenseRef-Fedora-Public-Domain,2
antlr-tool,ANTLR-PD,2
aopalliance,LicenseRef-Fedora-Public-Domain,2
apache-commons-cli,Apache-2.0,2
apache-commons-codec,Apache-2.0,2
apache-commons-compress,Apache-2.0,4
apache-commons-io,Apache-2.0,2
apache-commons-lang3,Apache-2.0,2
apache-commons-logging,Apache-2.0,2
apache-commons-net,Apache-2.0,2
apcu-panel,PHP-3.01,2
appstream,GPL-2.0-or-later AND LGPL-2.1-or-later,2
appstream-compose,GPL-2.0-or-later AND LGPL-2.1-or-later,4
appstream-data,CC0-1.0 AND CC-BY-1.0 AND CC-BY-SA-1.0 AND GFDL-1.1-or-later,2
apr,Apache-2.0 AND (BSD-4-Clause-UC AND ISC AND Zlib AND Caldera-no-preamble),2
apr-devel,Apache-2.0 AND (BSD-4-Clause-UC AND ISC AND Zlib AND Caldera-no-preamble),2
apr-util,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
apr-util-devel,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
apr-util-ldap,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
apr-util-lmdb,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
apr-util-mysql,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
apr-util-odbc,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
apr-util-openssl,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
apr-util-pgsql,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
apr-util-sqlite,Apache-2.0 AND (Beerware AND LicenseRef-Fedora-Public-Domain AND OLDAP-2.7 AND BSD-4.3RENO),2
asciidoc,GPL-2.0-or-later,2
aspnetcore-runtime-8.0,0BSD AND Apache-2.0 AND (Apache-2.0 WITH LLVM-exception) AND APSL-2.0 AND BSD-2-Clause AND BSD-3-Clause AND BSD-4-Clause AND BSL-1.0 AND bzip2-1.0.6 AND CC0-1.0 AND CC-BY-3.0 AND CC-BY-4.0 AND CC-PDDC AND CNRI-Python AND EPL-1.0 AND GPL-2.0-only AND (GPL-2.0-only WITH GCC-exception-2.0) AND GPL-2.0-or-later AND GPL-3.0-only AND ICU AND ISC AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-Fedora-Public-Domain AND LicenseRef-ISO-8879 AND MIT AND MIT-Wu AND MS-PL AND MS-RL AND NCSA AND OFL-1.1 AND OpenSSL AND Unicode-DFS-2015 AND Unicode-DFS-2016 AND W3C-19980720 AND X11 AND Zlib,3
